TimeID,Date,Day,Month,Quarter,Year,IsWeekend
289,2019-10-16,16,10,4,2019,FALSE
290,2019-10-17,17,10,4,2019,FALSE
291,2019-10-18,18,10,4,2019,FALSE
292,2019-10-19,19,10,4,2019,TRUE
293,2019-10-20,20,10,4,2019,TRUE
294,2019-10-21,21,10,4,2019,FALSE
295,2019-10-22,22,10,4,2019,FALSE
296,2019-10-23,23,10,4,2019,FALSE
297,2019-10-24,24,10,4,2019,FALSE
298,2019-10-25,25,10,4,2019,FALSE
299,2019-10-26,26,10,4,2019,TRUE
300,2019-10-27,27,10,4,2019,TRUE
301,2019-10-28,28,10,4,2019,FALSE
302,2019-10-29,29,10,4,2019,FALSE
303,2019-10-30,30,10,4,2019,FALSE
304,2019-10-31,31,10,4,2019,FALSE
305,2019-11-01,1,11,4,2019,FALSE
306,2019-11-02,2,11,4,2019,TRUE
307,2019-11-03,3,11,4,2019,TRUE
308,2019-11-04,4,11,4,2019,FALSE
309,2019-11-05,5,11,4,2019,FALSE
310,2019-11-06,6,11,4,2019,FALSE
311,2019-11-07,7,11,4,2019,FALSE
312,2019-11-08,8,11,4,2019,FALSE
313,2019-11-09,9,11,4,2019,TRUE
314,2019-11-10,10,11,4,2019,TRUE
315,2019-11-11,11,11,4,2019,FALSE
316,2019-11-12,12,11,4,2019,FALSE
317,2019-11-13,13,11,4,2019,FALSE
318,2019-11-14,14,11,4,2019,FALSE
319,2019-11-15,15,11,4,2019,FALSE
320,2019-11-16,16,11,4,2019,TRUE
321,2019-11-17,17,11,4,2019,TRUE
322,2019-11-18,18,11,4,2019,FALSE
323,2019-11-19,19,11,4,2019,FALSE
324,2019-11-20,20,11,4,2019,FALSE
325,2019-11-21,21,11,4,2019,FALSE
326,2019-11-22,22,11,4,2019,FALSE
327,2019-11-23,23,11,4,2019,TRUE
328,2019-11-24,24,11,4,2019,TRUE
329,2019-11-25,25,11,4,2019,FALSE
330,2019-11-26,26,11,4,2019,FALSE
331,2019-11-27,27,11,4,2019,FALSE
332,2019-11-28,28,11,4,2019,FALSE
333,2019-11-29,29,11,4,2019,FALSE
334,2019-11-30,30,11,4,2019,TRUE
335,2019-12-01,1,12,4,2019,TRUE
336,2019-12-02,2,12,4,2019,FALSE
337,2019-12-03,3,12,4,2019,FALSE
338,2019-12-04,4,12,4,2019,FALSE
339,2019-12-05,5,12,4,2019,FALSE
340,2019-12-06,6,12,4,2019,FALSE
341,2019-12-07,7,12,4,2019,TRUE
342,2019-12-08,8,12,4,2019,TRUE
343,2019-12-09,9,12,4,2019,FALSE
344,2019-12-10,10,12,4,2019,FALSE
345,2019-12-11,11,12,4,2019,FALSE
346,2019-12-12,12,12,4,2019,FALSE
347,2019-12-13,13,12,4,2019,FALSE
348,2019-12-14,14,12,4,2019,TRUE
349,2019-12-15,15,12,4,2019,TRUE
350,2019-12-16,16,12,4,2019,FALSE
351,2019-12-17,17,12,4,2019,FALSE
352,2019-12-18,18,12,4,2019,FALSE
353,2019-12-19,19,12,4,2019,FALSE
354,2019-12-20,20,12,4,2019,FALSE
355,2019-12-21,21,12,4,2019,TRUE
356,2019-12-22,22,12,4,2019,TRUE
357,2019-12-23,23,12,4,2019,FALSE
358,2019-12-24,24,12,4,2019,FALSE
359,2019-12-25,25,12,4,2019,FALSE
360,2019-12-26,26,12,4,2019,FALSE
361,2019-12-27,27,12,4,2019,FALSE
362,2019-12-28,28,12,4,2019,TRUE
363,2019-12-29,29,12,4,2019,TRUE
364,2019-12-30,30,12,4,2019,FALSE
365,2019-12-31,31,12,4,2019,FALSE
366,2020-01-01,1,1,1,2020,FALSE
367,2020-01-02,2,1,1,2020,FALSE
368,2020-01-03,3,1,1,2020,FALSE
369,2020-01-04,4,1,1,2020,TRUE
370,2020-01-05,5,1,1,2020,TRUE
371,2020-01-06,6,1,1,2020,FALSE
372,2020-01-07,7,1,1,2020,FALSE
373,2020-01-08,8,1,1,2020,FALSE
374,2020-01-09,9,1,1,2020,FALSE
375,2020-01-10,10,1,1,2020,FALSE
376,2020-01-11,11,1,1,2020,TRUE
377,2020-01-12,12,1,1,2020,TRUE
378,2020-01-13,13,1,1,2020,FALSE
379,2020-01-14,14,1,1,2020,FALSE
380,2020-01-15,15,1,1,2020,FALSE
381,2020-01-16,16,1,1,2020,FALSE
382,2020-01-17,17,1,1,2020,FALSE
383,2020-01-18,18,1,1,2020,TRUE
384,2020-01-19,19,1,1,2020,TRUE
385,2020-01-20,20,1,1,2020,FALSE
386,2020-01-21,21,1,1,2020,FALSE
387,2020-01-22,22,1,1,2020,FALSE
388,2020-01-23,23,1,1,2020,FALSE
389,2020-01-24,24,1,1,2020,FALSE
390,2020-01-25,25,1,1,2020,TRUE
391,2020-01-26,26,1,1,2020,TRUE
392,2020-01-27,27,1,1,2020,FALSE
393,2020-01-28,28,1,1,2020,FALSE
394,2020-01-29,29,1,1,2020,FALSE
395,2020-01-30,30,1,1,2020,FALSE
396,2020-01-31,31,1,1,2020,FALSE
397,2020-02-01,1,2,1,2020,TRUE
398,2020-02-02,2,2,1,2020,TRUE
399,2020-02-03,3,2,1,2020,FALSE
400,2020-02-04,4,2,1,2020,FALSE
401,2020-02-05,5,2,1,2020,FALSE
402,2020-02-06,6,2,1,2020,FALSE
403,2020-02-07,7,2,1,2020,FALSE
404,2020-02-08,8,2,1,2020,TRUE
405,2020-02-09,9,2,1,2020,TRUE
406,2020-02-10,10,2,1,2020,FALSE
407,2020-02-11,11,2,1,2020,FALSE
408,2020-02-12,12,2,1,2020,FALSE
409,2020-02-13,13,2,1,2020,FALSE
410,2020-02-14,14,2,1,2020,FALSE
411,2020-02-15,15,2,1,2020,TRUE
412,2020-02-16,16,2,1,2020,TRUE
413,2020-02-17,17,2,1,2020,FALSE
414,2020-02-18,18,2,1,2020,FALSE
415,2020-02-19,19,2,1,2020,FALSE
416,2020-02-20,20,2,1,2020,FALSE
417,2020-02-21,21,2,1,2020,FALSE
418,2020-02-22,22,2,1,2020,TRUE
419,2020-02-23,23,2,1,2020,TRUE
420,2020-02-24,24,2,1,2020,FALSE
421,2020-02-25,25,2,1,2020,FALSE
422,2020-02-26,26,2,1,2020,FALSE
423,2020-02-27,27,2,1,2020,FALSE
424,2020-02-28,28,2,1,2020,FALSE
425,2020-02-29,29,2,1,2020,TRUE
426,2020-03-01,1,3,1,2020,TRUE
427,2020-03-02,2,3,1,2020,FALSE
428,2020-03-03,3,3,1,2020,FALSE
429,2020-03-04,4,3,1,2020,FALSE
430,2020-03-05,5,3,1,2020,FALSE
431,2020-03-06,6,3,1,2020,FALSE
432,2020-03-07,7,3,1,2020,TRUE
433,2020-03-08,8,3,1,2020,TRUE
434,2020-03-09,9,3,1,2020,FALSE
435,2020-03-10,10,3,1,2020,FALSE
436,2020-03-11,11,3,1,2020,FALSE
437,2020-03-12,12,3,1,2020,FALSE
438,2020-03-13,13,3,1,2020,FALSE
439,2020-03-14,14,3,1,2020,TRUE
440,2020-03-15,15,3,1,2020,TRUE
441,2020-03-16,16,3,1,2020,FALSE
442,2020-03-17,17,3,1,2020,FALSE
443,2020-03-18,18,3,1,2020,FALSE
444,2020-03-19,19,3,1,2020,FALSE
445,2020-03-20,20,3,1,2020,FALSE
446,2020-03-21,21,3,1,2020,TRUE
447,2020-03-22,22,3,1,2020,TRUE
448,2020-03-23,23,3,1,2020,FALSE
449,2020-03-24,24,3,1,2020,FALSE
450,2020-03-25,25,3,1,2020,FALSE
451,2020-03-26,26,3,1,2020,FALSE
452,2020-03-27,27,3,1,2020,FALSE
453,2020-03-28,28,3,1,2020,TRUE
454,2020-03-29,29,3,1,2020,TRUE
455,2020-03-30,30,3,1,2020,FALSE
456,2020-03-31,31,3,1,2020,FALSE
457,2020-04-01,1,4,2,2020,FALSE
458,2020-04-02,2,4,2,2020,FALSE
459,2020-04-03,3,4,2,2020,FALSE
460,2020-04-04,4,4,2,2020,TRUE
461,2020-04-05,5,4,2,2020,TRUE
462,2020-04-06,6,4,2,2020,FALSE
463,2020-04-07,7,4,2,2020,FALSE
464,2020-04-08,8,4,2,2020,FALSE
465,2020-04-09,9,4,2,2020,FALSE
466,2020-04-10,10,4,2,2020,FALSE
467,2020-04-11,11,4,2,2020,TRUE
468,2020-04-12,12,4,2,2020,TRUE
469,2020-04-13,13,4,2,2020,FALSE
470,2020-04-14,14,4,2,2020,FALSE
471,2020-04-15,15,4,2,2020,FALSE
472,2020-04-16,16,4,2,2020,FALSE
473,2020-04-17,17,4,2,2020,FALSE
474,2020-04-18,18,4,2,2020,TRUE
475,2020-04-19,19,4,2,2020,TRUE
476,2020-04-20,20,4,2,2020,FALSE
477,2020-04-21,21,4,2,2020,FALSE
478,2020-04-22,22,4,2,2020,FALSE
479,2020-04-23,23,4,2,2020,FALSE
480,2020-04-24,24,4,2,2020,FALSE
481,2020-04-25,25,4,2,2020,TRUE
482,2020-04-26,26,4,2,2020,TRUE
483,2020-04-27,27,4,2,2020,FALSE
484,2020-04-28,28,4,2,2020,FALSE
485,2020-04-29,29,4,2,2020,FALSE
486,2020-04-30,30,4,2,2020,FALSE
487,2020-05-01,1,5,2,2020,FALSE
488,2020-05-02,2,5,2,2020,TRUE
489,2020-05-03,3,5,2,2020,TRUE
490,2020-05-04,4,5,2,2020,FALSE
491,2020-05-05,5,5,2,2020,FALSE
492,2020-05-06,6,5,2,2020,FALSE
493,2020-05-07,7,5,2,2020,FALSE
494,2020-05-08,8,5,2,2020,FALSE
495,2020-05-09,9,5,2,2020,TRUE
496,2020-05-10,10,5,2,2020,TRUE
497,2020-05-11,11,5,2,2020,FALSE
498,2020-05-12,12,5,2,2020,FALSE
499,2020-05-13,13,5,2,2020,FALSE
500,2020-05-14,14,5,2,2020,FALSE
501,2020-05-15,15,5,2,2020,FALSE
502,2020-05-16,16,5,2,2020,TRUE
503,2020-05-17,17,5,2,2020,TRUE
504,2020-05-18,18,5,2,2020,FALSE
505,2020-05-19,19,5,2,2020,FALSE
506,2020-05-20,20,5,2,2020,FALSE
507,2020-05-21,21,5,2,2020,FALSE
508,2020-05-22,22,5,2,2020,FALSE
509,2020-05-23,23,5,2,2020,TRUE
510,2020-05-24,24,5,2,2020,TRUE
511,2020-05-25,25,5,2,2020,FALSE
512,2020-05-26,26,5,2,2020,FALSE
513,2020-05-27,27,5,2,2020,FALSE
514,2020-05-28,28,5,2,2020,FALSE
515,2020-05-29,29,5,2,2020,FALSE
516,2020-05-30,30,5,2,2020,TRUE
517,2020-05-31,31,5,2,2020,TRUE
518,2020-06-01,1,6,2,2020,FALSE
519,2020-06-02,2,6,2,2020,FALSE
520,2020-06-03,3,6,2,2020,FALSE
521,2020-06-04,4,6,2,2020,FALSE
522,2020-06-05,5,6,2,2020,FALSE
523,2020-06-06,6,6,2,2020,TRUE
524,2020-06-07,7,6,2,2020,TRUE
525,2020-06-08,8,6,2,2020,FALSE
526,2020-06-09,9,6,2,2020,FALSE
527,2020-06-10,10,6,2,2020,FALSE
528,2020-06-11,11,6,2,2020,FALSE
529,2020-06-12,12,6,2,2020,FALSE
530,2020-06-13,13,6,2,2020,TRUE
531,2020-06-14,14,6,2,2020,TRUE
532,2020-06-15,15,6,2,2020,FALSE
533,2020-06-16,16,6,2,2020,FALSE
534,2020-06-17,17,6,2,2020,FALSE
535,2020-06-18,18,6,2,2020,FALSE
536,2020-06-19,19,6,2,2020,FALSE
537,2020-06-20,20,6,2,2020,TRUE
538,2020-06-21,21,6,2,2020,TRUE
539,2020-06-22,22,6,2,2020,FALSE
540,2020-06-23,23,6,2,2020,FALSE
541,2020-06-24,24,6,2,2020,FALSE
542,2020-06-25,25,6,2,2020,FALSE
543,2020-06-26,26,6,2,2020,FALSE
544,2020-06-27,27,6,2,2020,TRUE
545,2020-06-28,28,6,2,2020,TRUE
546,2020-06-29,29,6,2,2020,FALSE
547,2020-06-30,30,6,2,2020,FALSE
548,2020-07-01,1,7,3,2020,FALSE
549,2020-07-02,2,7,3,2020,FALSE
550,2020-07-03,3,7,3,2020,FALSE
551,2020-07-04,4,7,3,2020,TRUE
552,2020-07-05,5,7,3,2020,TRUE
553,2020-07-06,6,7,3,2020,FALSE
554,2020-07-07,7,7,3,2020,FALSE
555,2020-07-08,8,7,3,2020,FALSE
556,2020-07-09,9,7,3,2020,FALSE
557,2020-07-10,10,7,3,2020,FALSE
558,2020-07-11,11,7,3,2020,TRUE
559,2020-07-12,12,7,3,2020,TRUE
560,2020-07-13,13,7,3,2020,FALSE
561,2020-07-14,14,7,3,2020,FALSE
562,2020-07-15,15,7,3,2020,FALSE
563,2020-07-16,16,7,3,2020,FALSE
564,2020-07-17,17,7,3,2020,FALSE
565,2020-07-18,18,7,3,2020,TRUE
566,2020-07-19,19,7,3,2020,TRUE
567,2020-07-20,20,7,3,2020,FALSE
568,2020-07-21,21,7,3,2020,FALSE
569,2020-07-22,22,7,3,2020,FALSE
570,2020-07-23,23,7,3,2020,FALSE
571,2020-07-24,24,7,3,2020,FALSE
572,2020-07-25,25,7,3,2020,TRUE
573,2020-07-26,26,7,3,2020,TRUE
574,2020-07-27,27,7,3,2020,FALSE
575,2020-07-28,28,7,3,2020,FALSE
576,2020-07-29,29,7,3,2020,FALSE
577,2020-07-30,30,7,3,2020,FALSE
578,2020-07-31,31,7,3,2020,FALSE
579,2020-08-01,1,8,3,2020,TRUE
580,2020-08-02,2,8,3,2020,TRUE
581,2020-08-03,3,8,3,2020,FALSE
582,2020-08-04,4,8,3,2020,FALSE
583,2020-08-05,5,8,3,2020,FALSE
584,2020-08-06,6,8,3,2020,FALSE
585,2020-08-07,7,8,3,2020,FALSE
586,2020-08-08,8,8,3,2020,TRUE
587,2020-08-09,9,8,3,2020,TRUE
588,2020-08-10,10,8,3,2020,FALSE
589,2020-08-11,11,8,3,2020,FALSE
590,2020-08-12,12,8,3,2020,FALSE
591,2020-08-13,13,8,3,2020,FALSE
592,2020-08-14,14,8,3,2020,FALSE
593,2020-08-15,15,8,3,2020,TRUE
594,2020-08-16,16,8,3,2020,TRUE
595,2020-08-17,17,8,3,2020,FALSE
596,2020-08-18,18,8,3,2020,FALSE
597,2020-08-19,19,8,3,2020,FALSE
598,2020-08-20,20,8,3,2020,FALSE
599,2020-08-21,21,8,3,2020,FALSE
600,2020-08-22,22,8,3,2020,TRUE
601,2020-08-23,23,8,3,2020,TRUE
602,2020-08-24,24,8,3,2020,FALSE
